Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,7.440000,7.440000,7.120000,7.330000,7.330000,17873200
2022-11-29,7.290000,7.620000,7.080000,7.430000,7.430000,16317800
2022-11-30,7.480000,7.480000,6.960000,7.230000,7.230000,44913800
2022-12-01,7.290000,9.150000,7.210000,8.170000,8.170000,96708500
2022-12-02,8.180000,8.630000,7.920000,8.170000,8.170000,34765600
2022-12-05,8.180000,8.540000,7.410000,7.450000,7.450000,28313400
2022-12-06,7.460000,7.480000,6.680000,6.750000,6.750000,26188100
2022-12-07,6.770000,7.130000,6.000000,6.050000,6.050000,39234400
2022-12-08,6.240000,6.700000,5.970000,6.070000,6.070000,30496400
2022-12-09,6.050000,6.130000,5.810000,5.940000,5.940000,23156400
2022-12-12,5.990000,6.000000,5.610000,5.950000,5.950000,17523800
2022-12-13,6.500000,6.510000,5.530000,5.720000,5.720000,34932400
2022-12-14,5.770000,5.880000,5.610000,5.750000,5.750000,22155900
2022-12-15,5.600000,6.050000,5.530000,5.600000,5.600000,28706500
2022-12-16,5.650000,5.730000,5.130000,5.310000,5.310000,29694500
2022-12-19,5.230000,5.320000,4.780000,4.890000,4.890000,29491400
2022-12-20,4.870000,5.150000,4.740000,5.080000,5.080000,22273800
2022-12-21,5.140000,5.370000,5.050000,5.300000,5.300000,19607600
2022-12-22,4.140000,4.980000,4.110000,4.910000,4.910000,55461400
2022-12-23,4.700000,4.820000,4.310000,4.400000,4.400000,30311100
2022-12-27,4.200000,4.210000,4.000000,4.030000,4.030000,21676500
2022-12-28,4.010000,4.130000,3.810000,3.840000,3.840000,29744300
2022-12-29,3.900000,4.190000,3.860000,4.140000,4.140000,21225300
2022-12-30,4.040000,4.090000,3.900000,4.070000,4.070000,18292300
2023-01-03,4.140000,4.390000,3.870000,3.930000,3.930000,22100500
2023-01-04,4.000000,4.160000,3.840000,4.090000,4.090000,17999300
2023-01-05,4.030000,4.060000,3.860000,3.960000,3.960000,12757400
2023-01-06,3.980000,3.990000,3.770000,3.850000,3.850000,15164900
2023-01-09,3.920000,4.020000,3.790000,3.930000,3.930000,17164000
2023-01-10,3.910000,4.080000,3.910000,4.060000,4.060000,12844600
2023-01-11,4.430000,4.980000,4.310000,4.920000,4.920000,53995000
2023-01-12,5.090000,5.350000,4.740000,5.020000,5.020000,41961200
2023-01-13,4.840000,5.140000,4.770000,5.060000,5.060000,25658000
2023-01-17,5.370000,6.170000,5.060000,6.070000,6.070000,57607200
2023-01-18,6.370000,6.550000,5.460000,5.650000,5.650000,62125400
2023-01-19,5.470000,5.650000,5.260000,5.520000,5.520000,29734900
2023-01-20,5.530000,5.810000,5.450000,5.520000,5.520000,31049300
2023-01-23,5.530000,5.920000,5.420000,5.660000,5.660000,34092900
2023-01-24,5.950000,5.950000,5.400000,5.500000,5.500000,24293900
2023-01-25,5.430000,5.470000,5.280000,5.330000,5.330000,22975100
2023-01-26,5.500000,5.610000,5.100000,5.280000,5.280000,21597700
2023-01-27,5.250000,5.620000,5.100000,5.510000,5.510000,33158500
2023-01-30,5.280000,5.340000,4.950000,5.010000,5.010000,34116800
2023-01-31,5.100000,5.350000,5.000000,5.350000,5.350000,21881400
2023-02-01,5.300000,5.800000,5.270000,5.710000,5.710000,36970900
2023-02-02,6.280000,6.450000,5.930000,6.080000,6.080000,49690900
2023-02-03,6.100000,6.770000,6.030000,6.080000,6.080000,52120400
2023-02-06,6.310000,7.330000,6.050000,6.800000,6.800000,62513900
2023-02-07,6.940000,6.960000,6.050000,6.180000,6.180000,47411000
2023-02-08,6.120000,6.130000,5.610000,5.720000,5.720000,31424400
2023-02-09,5.870000,5.880000,5.140000,5.360000,5.360000,29113300
2023-02-10,5.210000,5.210000,4.640000,4.900000,4.900000,38589100
2023-02-13,4.750000,4.910000,4.580000,4.680000,4.680000,26219400
2023-02-14,4.550000,4.620000,4.390000,4.500000,4.500000,36199200
2023-02-15,4.560000,5.270000,4.530000,5.170000,5.170000,46713300
2023-02-16,5.240000,5.490000,5.050000,5.250000,5.250000,32085500
2023-02-17,5.320000,5.530000,5.210000,5.240000,5.240000,27442800
2023-02-21,5.470000,6.200000,5.440000,6.100000,6.100000,73513000
2023-02-22,6.420000,6.790000,6.020000,6.260000,6.260000,68667200
2023-02-23,6.290000,6.650000,5.910000,6.230000,6.230000,42144300
2023-02-24,6.130000,6.240000,5.990000,6.200000,6.200000,23309300
2023-02-27,6.310000,8.190000,6.190000,7.610000,7.610000,121794200
